City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Torbay,CA,47.6666,-52.7314,30.27,88,50,3.0,scattered clouds
80,Palana,RU,59.1167,159.9667,29.97,66,99,17.67,overcast clouds
81,Sorland,NO,67.667,12.6934,33.13,73,100,29.82,light snow
82,Beipiao,CN,41.7919,120.7792,25.74,23,0,10.96,clear sky
83,Coquimbo,CL,-29.9533,-71.3436,63.5,84,16,4.79,few clouds
84,Adrar,MR,20.5022,-10.0711,70.68,12,100,4.7,overcast clouds
85,Codrington,AU,-38.2667,141.9667,66.25,70,100,14.23,overcast clouds
86,Gornopravdinsk,RU,60.05,69.9,-7.31,100,99,4.16,overcast clouds
87,Nikolskoye,RU,59.7035,30.7861,24.69,97,97,5.93,light snow
88,Hobart,AU,-42.8794,147.3294,73.27,68,75,1.01,broken clouds
89,Qingdao,CN,36.0986,120.3719,35.22,36,7,6.15,clear sky
90,Qaanaaq,GL,77.484,-69.3632,-13.32,62,74,7.87,broken clouds
91,Port Lincoln,AU,-34.7333,135.8667,72.73,63,81,14.9,broken clouds
92,Saint-Philippe,RE,-21.3585,55.7679,80.11,76,0,6.69,clear sky
93,Skibbereen,IE,51.55,-9.2667,51.6,90,100,19.39,overcast clouds
94,Longyearbyen,SJ,78.2186,15.6401,10.24,72,0,13.8,clear sky
95,East London,ZA,-33.0153,27.9116,65.64,79,4,8.34,clear sky
96,San Quintin,MX,30.4833,-115.95,59.16,55,26,0.94,scattered clouds
97,Touros,BR,-5.1989,-35.4608,76.44,82,100,8.05,moderate rain
98,Manitouwadge,CA,49.1215,-85.8403,-12.8,100,44,0.78,scattered clouds
99,Araouane,ML,18.9048,-3.5265,65.19,17,32,11.07,scattered clouds
100,Finschhafen,PG,-6.6024,147.8681,81.23,83,100,11.48,light rain
101,Pevek,RU,69.7008,170.3133,-10.93,99,100,2.28,overcast clouds
102,Ginir,ET,7.1333,40.7,56.07,34,98,5.35,overcast clouds
103,Buchanan,LR,5.8808,-10.0467,78.8,81,60,1.59,light rain
104,Hervey Bay,AU,-25.2986,152.8535,89.04,63,2,7.0,clear sky
105,Namatanai,PG,-3.6667,152.4333,84.92,71,100,5.88,light rain
106,Saldanha,ZA,-33.0117,17.9442,61.07,81,0,10.71,clear sky
107,Tasiilaq,GL,65.6145,-37.6368,14.16,68,66,6.2,broken clouds
108,Laguna,US,38.421,-121.4238,54.1,78,0,0.0,clear sky
109,Kyaikkami,MM,16.08,97.5675,80.2,56,25,4.41,scattered clouds
110,Upata,VE,8.0086,-62.3989,71.19,82,29,3.51,scattered clouds
111,Itarema,BR,-2.9248,-39.9167,73.74,82,100,3.44,overcast clouds
112,Yulara,AU,-25.2406,130.9889,93.04,33,61,21.85,broken clouds
113,Sur,OM,22.5667,59.5289,71.38,47,0,2.01,clear sky
114,Lyaskelya,RU,61.7667,31.0167,6.89,99,68,3.58,broken clouds
115,Marrakesh,MA,31.6315,-8.0083,55.47,47,40,2.3,scattered clouds
116,Tabou,CI,4.423,-7.3528,78.53,83,60,1.66,broken clouds
117,Matay,EG,28.419,30.7792,45.12,65,9,4.27,clear sky
118,Kahului,US,20.8947,-156.47,77.02,70,0,6.91,clear sky
119,Alofi,NU,-19.0595,-169.9187,82.51,73,70,10.98,light rain
120,Clyde River,CA,70.4692,-68.5914,-9.17,84,100,29.93,snow
121,Campos Belos,BR,-13.0367,-46.7717,65.73,98,100,1.72,overcast clouds
122,Vieksniai,LT,56.2333,22.5167,29.17,80,99,6.46,overcast clouds
123,Vagur,FO,61.4732,-6.8119,43.34,96,100,12.57,overcast clouds
124,Rzhev,RU,56.2624,34.3282,22.66,98,100,0.78,light snow
125,Madang,PG,-5.2246,145.7966,77.5,91,100,4.65,overcast clouds
126,Kuzino,RU,57.0224,59.4412,5.25,97,100,3.49,overcast clouds
127,Port Alfred,ZA,-33.5906,26.891,66.45,81,91,5.61,light rain
128,Biltine,TD,14.5333,20.9167,57.15,16,23,12.59,few clouds
129,Tiksi,RU,71.6872,128.8694,-10.07,99,33,6.49,scattered clouds
130,Kushiro,JP,42.975,144.3747,26.96,56,3,16.37,clear sky
131,Rio Grande,BR,-32.035,-52.0986,67.95,64,4,10.27,clear sky
132,Katsuura,JP,35.1333,140.3,44.71,94,100,10.98,overcast clouds
133,Acapulco,MX,16.8634,-99.8901,78.62,83,40,2.3,scattered clouds
134,Aswan,EG,24.0934,32.907,44.53,52,0,8.99,clear sky
135,Nuevo Casas Grandes,MX,30.4167,-107.9167,37.74,51,67,3.0,broken clouds
136,Matara,LK,5.9485,80.5353,82.63,68,11,1.88,few clouds
137,Butaritari,KI,3.0707,172.7902,81.64,80,55,16.33,broken clouds
138,Saint-Gaudens,FR,43.0833,0.6667,41.13,59,70,4.36,broken clouds
139,Richmond Hill,CA,43.8711,-79.4372,4.64,64,84,5.48,broken clouds
140,Mandalgovi,MN,45.7625,106.2708,5.92,82,100,6.78,overcast clouds
141,Lagoa,PT,39.05,-27.9833,57.9,55,18,12.15,few clouds
142,Cape Town,ZA,-33.9258,18.4232,64.35,75,4,3.0,clear sky
143,Ahipara,NZ,-35.1667,173.1667,74.93,51,100,7.31,overcast clouds
144,Maniitsoq,GL,65.4167,-52.9,13.21,87,100,18.57,snow
145,Olonets,RU,60.9847,32.9698,-1.23,100,95,3.09,overcast clouds
146,Paamiut,GL,61.994,-49.6678,21.88,83,100,26.26,light snow
147,Castro,BR,-24.7911,-50.0119,59.05,99,100,8.7,overcast clouds
148,Gat,IL,31.61,34.7642,47.08,100,99,7.27,overcast clouds
149,Apricena,IT,41.7839,15.4437,44.73,53,26,17.11,scattered clouds
150,Kaitangata,NZ,-46.2817,169.8464,64.92,72,99,6.73,overcast clouds
151,Udachnyy,RU,66.4167,112.4,-20.87,100,82,4.09,broken clouds
152,Puerto Ayora,EC,-0.7393,-90.3518,73.54,94,71,6.78,broken clouds
153,Vardo,NO,70.3705,31.1107,32.18,58,100,20.89,light snow
154,Urengoy,RU,65.9667,78.3667,-3.17,99,98,6.76,overcast clouds
155,Walla Walla,US,46.0646,-118.343,31.46,85,64,1.99,broken clouds
156,Panama City,PA,8.9936,-79.5197,77.16,78,12,4.45,few clouds
157,Lata,PT,40.1629,-8.3327,48.72,57,0,5.7,clear sky
158,Sangar,RU,63.9242,127.4739,-23.3,97,92,0.96,overcast clouds
159,Yellowknife,CA,62.456,-114.3525,-7.58,87,88,5.99,overcast clouds
160,Quatre Cocos,MU,-20.2078,57.7625,84.09,77,5,9.86,clear sky
161,Leningradskiy,RU,69.3833,178.4167,-10.3,91,54,3.27,broken clouds
162,Bambous Virieux,MU,-20.3428,57.7575,84.22,78,4,9.46,clear sky
163,Bonfim,BR,3.0833,-59.95,80.22,57,96,8.3,overcast clouds
164,Atar,MR,20.5169,-13.0499,69.62,25,100,7.72,overcast clouds
165,Umm Lajj,SA,25.0213,37.2685,59.83,47,0,10.0,clear sky
166,Allende,MX,25.2833,-100.0167,52.75,89,98,1.97,overcast clouds
167,Selma,US,36.5708,-119.6121,53.98,52,95,2.8,overcast clouds
168,Hailar,CN,49.2,119.7,-1.91,83,15,6.42,few clouds
169,Pochutla,MX,15.7432,-96.4661,76.82,90,2,4.0,clear sky
170,Bengkulu,ID,-3.8004,102.2655,82.81,68,100,2.46,moderate rain
171,Saint George,US,37.1041,-113.5841,47.35,26,0,3.0,clear sky
172,Shingu,JP,33.7333,135.9833,53.29,35,88,7.18,overcast clouds
173,Ust-Ilimsk,RU,58.0006,102.6619,-0.67,95,94,2.59,overcast clouds
174,Bethanien,NA,-26.502,17.1583,76.75,36,68,3.18,broken clouds
175,Redmond,US,47.674,-122.1215,43.34,74,96,1.99,overcast clouds
176,Cabo San Lucas,MX,22.8909,-109.9124,67.95,59,10,3.0,clear sky
177,Merritt,CA,50.1123,-120.7942,22.44,93,100,1.57,overcast clouds
178,Guarapari,BR,-20.6667,-40.4975,78.69,88,85,12.5,overcast clouds
179,Saskylakh,RU,71.9167,114.0833,-3.8,94,100,5.06,overcast clouds
180,Mushie,CD,-3.0167,16.9,73.29,81,100,2.44,overcast clouds
181,Suez,EG,29.9737,32.5263,48.13,66,7,2.77,clear sky
182,Ostrovnoy,RU,68.0531,39.5131,13.5,92,98,9.46,overcast clouds
183,Antalaha,MG,-14.9003,50.2788,75.36,78,87,4.76,overcast clouds
184,Constitucion,CL,-35.3333,-72.4167,56.39,93,7,3.87,clear sky
185,Krasnoselkup,RU,65.7,82.4667,3.6,96,100,10.04,overcast clouds
186,Souillac,MU,-20.5167,57.5167,84.36,77,4,8.48,clear sky
187,Isiolo,KE,0.3546,37.5822,67.68,59,57,4.65,broken clouds
188,Avarua,CK,-21.2078,-159.775,82.45,74,40,13.8,scattered clouds
189,Hamilton,US,39.1834,-84.5333,16.39,85,0,1.99,clear sky
190,Saint-Pierre,RE,-21.3393,55.4781,80.19,61,0,3.44,clear sky
191,Upernavik,GL,72.7868,-56.1549,9.12,71,100,3.36,overcast clouds
192,Botevgrad,BG,42.9,23.7833,33.98,89,46,4.61,scattered clouds
193,Kiyasovo,RU,56.3491,53.1244,9.66,94,100,4.61,overcast clouds
194,Kavieng,PG,-2.5744,150.7967,83.28,73,100,3.04,light rain
195,Chuy,UY,-33.6971,-53.4616,63.88,79,0,4.76,clear sky
196,Bandarbeyla,SO,9.4942,50.8122,72.77,72,94,16.67,light rain
197,Kalmunai,LK,7.4167,81.8167,80.65,78,28,4.7,scattered clouds
198,Havre-Saint-Pierre,CA,50.2334,-63.5986,0.39,80,62,7.56,broken clouds
199,Grindavik,IS,63.8424,-22.4338,27.07,68,75,19.57,broken clouds
200,Haines Junction,CA,60.7522,-137.5108,20.86,97,100,2.26,light snow
201,Ust-Karsk,RU,52.7011,118.8077,2.46,80,49,1.97,scattered clouds
