City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Mackay,AU,2022-01-27 03:07:03,-21.15,149.2,79.68,74,100,15.19
68,Hasaki,JP,2022-01-27 03:07:03,35.7333,140.8333,52.29,55,93,11.39
69,Cape Town,ZA,2022-01-27 03:06:57,-33.9258,18.4232,66.34,79,0,1.01
70,Ostrovnoy,RU,2022-01-27 03:07:04,68.0531,39.5131,13.17,97,82,20.89
71,Ilulissat,GL,2022-01-27 03:06:52,69.2167,-51.1,12.22,57,100,23.02
72,Norman Wells,CA,2022-01-27 03:05:13,65.282,-126.8329,-1.52,94,54,1.63
73,Bredasdorp,ZA,2022-01-27 03:07:04,-34.5322,20.0403,62.28,93,21,3.94
74,Morro Bay,US,2022-01-27 03:07:04,35.3658,-120.8499,58.14,77,0,4.56
75,Petropavlovsk-Kamchatskiy,RU,2022-01-27 03:02:43,53.0452,158.6483,19.99,35,75,11.18
76,Deputatskiy,RU,2022-01-27 03:07:05,69.3,139.9,-9.58,97,100,5.32
77,Ribeira Grande,PT,2022-01-27 03:07:05,38.5167,-28.7,59.7,79,25,12.75
78,Eichenzell,DE,2022-01-27 03:07:06,50.4934,9.6961,34.48,87,97,3.0
79,Saint Anthony,US,2022-01-27 03:04:31,45.0205,-93.218,27.82,74,100,5.01
80,Richards Bay,ZA,2022-01-27 03:06:26,-28.783,32.0377,72.9,96,35,6.96
81,San Luis,AR,2022-01-27 03:02:42,-33.295,-66.3356,68.97,81,74,22.79
82,Gazanjyk,TM,2022-01-27 03:07:06,39.2446,55.5154,41.47,50,100,9.66
83,Santa Isabel Do Rio Negro,BR,2022-01-27 03:04:06,-0.4139,-65.0192,73.76,98,96,1.52
84,Muzhi,RU,2022-01-27 03:07:07,65.3667,64.6667,10.6,96,100,4.36
85,Hilo,US,2022-01-27 03:07:07,19.7297,-155.09,78.53,70,0,10.36
86,Zhezkazgan,KZ,2022-01-27 03:07:08,47.8043,67.7144,-4.02,77,40,4.47
87,Mitu,CO,2022-01-27 03:04:12,1.1983,-70.1733,72.91,90,30,2.68
88,Horadiz,AZ,2022-01-27 03:07:08,39.4488,47.3353,35.13,91,85,0.83
89,New Norfolk,AU,2022-01-27 03:06:18,-42.7826,147.0587,73.71,54,82,1.99
